"sample","site","species","ssd","per.N","per.C","ht","dbh","dbh2","dbh3","lma","type","C.N"
"ULMAME03_WM","WM","ULMAME",0.630434782608696,2.917889195,43.51053578,NA,10.7,NA,NA,0.00275150321741271,NA,NA
"ULMAME04_WM","WM","ULMAME",0.5164,2.842601033,44.49713335,NA,19.9,NA,NA,0.00287025218201263,NA,NA
"ULMAME05_WM","WM","ULMAME",0.489102564102564,2.680546097,42.13956987,NA,NA,NA,NA,0.00290901526310315,NA,NA
"ULMAME06_WM","WM","ULMAME",0.54868154158215,2.782154299,43.98525062,NA,NA,NA,NA,0.00480824845970074,NA,NA
"VACMYR01_WM","WM","VACMYR",0.663076923076923,1.556001083,48.61486942,0.5,NA,NA,NA,0.00456923533846611,NA,NA
"VACMYR02_WM","WM","VACMYR",0.599074074074074,1.480867736,49.90327354,0.5,NA,NA,NA,0.0048558386510783,NA,NA
"VACMYR03_WM","WM","VACMYR",0.706024096385542,2.180264085,47.43964863,0.6,NA,NA,NA,0.00347840490289453,NA,NA
"VACMYR04_WM","WM","VACMYR",0.676056338028169,1.833958973,49.00341577,0.4,NA,NA,NA,0.0047878091054176,NA,NA
"VACMYR05_WM","WM","VACMYR",0.671686746987952,1.621502469,47.55472552,0.5,NA,NA,NA,0.00428677014042868,NA,NA
"VACMYR06_WM","WM","VACMYR",0.614545454545455,1.94925325,47.04092671,0.7,NA,NA,NA,0.00286472785085417,NA,NA
"VACMYR07_WM","WM","VACMYR",0.633333333333333,1.216736971,48.62046915,0.5,NA,NA,NA,0.00558768573716523,NA,NA
"VIBCAS01_WM","WM","VIBCAS",0.556551724137931,1.966752644,47.24691055,1.2,NA,NA,NA,0.0041236218421738,NA,NA
"VIBCAS02_WM","WM","VIBCAS",0.585448916408669,2.275129642,47.11155592,2,1.9,NA,NA,0.00374321726407233,NA,NA
"VIBCAS03_WM","WM","VIBCAS",0.60607476635514,1.421053329,44.6135659,2.5,1,NA,NA,0.0057772083943387,NA,NA
"VIBCAS04_WM","WM","VIBCAS",0.564642857142857,2.015477164,49.23866796,2,1.7,1.5,NA,0.00654926645276642,NA,NA
"VIBCAS05_WM","WM","VIBCAS",0.564921465968586,1.970387951,49.4300776,5,3.4,3.1,1.1,0.0070809341813723,NA,NA
"VIBCAS06_WM","WM","VIBCAS",0.5662100456621,1.600219906,49.85689048,3,2.2,NA,NA,0.00708185140328159,NA,NA
"VIBCAS07_WM","WM","VIBCAS",0.559259259259259,1.697581692,49.07390754,1.9,1.4,1.1,NA,0.00832196054372368,NA,NA
"VIBCAS08_WM","WM","VIBCAS",0.602985074626866,1.396983152,49.66113842,2,1,NA,NA,0.00718718242556596,NA,NA
"VIBLAN01_WM","WM","VIBLAN",0.419047619047619,2.441757763,46.63310317,1.1,NA,NA,NA,0.0027564180804752,NA,NA
"VIBLAN02_WM","WM","VIBLAN",0.403111111111111,2.407007517,45.44527753,1.6,NA,NA,NA,0.00380198860996429,NA,NA
"VIBLAN03_WM","WM","VIBLAN",0.350724637681159,0.87327805,16.23132258,1.2,NA,NA,NA,0.00293830223383358,NA,NA
"VIBLAN04_WM","WM","VIBLAN",0.391666666666667,2.238281414,46.21999944,1.5,NA,NA,NA,0.00449513922743827,NA,NA
"VIBLAN05_WM","WM","VIBLAN",0.388118811881188,1.899460432,44.89843471,1.9,NA,NA,NA,0.00286103935462457,NA,NA
"VIBLAN04_WM","WM","VIBLAN",0.389583333333333,2.238281414,46.21999944,NA,NA,NA,NA,0.00512603596111382,NA,NA
"ACEPEN05_SH","SH","ACEPEN",0.485148514851485,2.005149126,46.50421906,10.25,5.8,NA,NA,0.00393279746093076,NA,NA
"ACEPEN06_SH","SH","ACEPEN",0.5,1.765407801,47.24977875,7.94,5.6,NA,NA,0.00320450251019363,NA,NA
"ACEPEN07_SH","SH","ACEPEN",0.542553191489362,1.628141165,47.01345825,11.43,6.7,4,2.8,0.00304460916239419,NA,NA
"ACEPEN08_SH","SH","ACEPEN",0.483516483516484,2.470552683,47.91010284,4,2.4,4.2,2.8,0.0037999670445336,NA,NA
"ACEPEN09_SH","SH","ACEPEN",0.481203007518797,2.229628325,46.81370544,3.7,4.3,NA,NA,0.00350655726208009,NA,NA
"ACEPEN11_SH","SH","ACEPEN",0.476377952755905,2.089694023,47.47185516,6.98,5.7,3.8,4.7,0.00266662874128012,NA,NA
"ACERUB05_SH","SH","ACERUB",0.5,1.441077471,49.89678192,13.72,5.1,NA,NA,0.00557809330628803,NA,NA
"ACERUB06_SH","SH","ACERUB",0.531746031746032,1.584614277,48.87286377,12.02,13.3,NA,NA,0.00719796471342586,NA,NA
"ACERUB07_SH","SH","ACERUB",0.583690987124464,1.646123409,49.28293991,11.82,38.8,NA,NA,0.0068230670969132,NA,NA
"ACERUB08_SH","SH","ACERUB",0.647727272727273,1.716332674,49.10782623,6,16.6,NA,NA,0.00542427518122891,NA,NA
"ACERUB09_SH","SH","ACERUB",0.554794520547945,1.552723885,49.3174057,8.5,11.4,NA,NA,0.00567774936061381,NA,NA
"ACERUB10_SH","SH","ACERUB",0.523465703971119,1.756975055,49.92558289,11.2,17.1,NA,NA,0.00521063797231745,NA,NA
"ACESAC05_SH","SH","ACESAC",0.612903225806452,2.148383141,46.90023041,2,14.7,NA,NA,0.00259357585669053,NA,NA
"ACESAC06_SH","SH","ACESAC",0.625550660792952,1.944366574,47.92179489,5.5,10,NA,NA,0.00342009416363152,NA,NA
"ACESAC07_SH","SH","ACESAC",0.453658536585366,1.873490214,47.44446182,2.5,4.6,3.3,2.5,0.00585477977715696,NA,NA
"ACESAC09_SH","SH","ACESAC",0.556213017751479,2.332081318,47.81206512,1,15,21,9.3,0.00458955502663009,NA,NA
"ACESAC10_SH","SH","ACESAC",0.438053097345133,2.42280674,47.7133255,1.5,14.5,12.5,NA,0.00493440148612562,NA,NA
"ACESAC99_SH","SH","ACESAC",0.550607287449393,1.956656694,46.91493607,1,3.9,NA,NA,0.00450053966648213,NA,NA
"ALNINC01_SH","SH","ALNINC",0.521739130434783,2.714490175,50.83229446,15.15,3.7,2.6,2.8,0.00540444983205798,NA,NA
"ALNINC02_SH","SH","ALNINC",0.481012658227848,2.869149446,47.92773056,10.33,3.2,3.3,3.6,0.00598759237801667,NA,NA
"ALNINC04_SH","SH","ALNINC",0.48780487804878,2.385448933,50.64451599,1.5,1.2,1.2,1.3,0.00480963725446128,NA,NA
"ALNINC05_SH","SH","ALNINC",0.418604651162791,2.769349337,49.81934738,2,5.2,6.4,3.7,0.00469375681450371,NA,NA
"ALNINC06_SH","SH","ALNINC",0.489285714285714,2.38735652,48.67660141,1.5,2.6,NA,NA,0.005866623588078,NA,NA
"ALNINC07_SH","SH","ALNINC",0.5,2.964387417,47.60628891,0.3,3.3,4.8,3.6,0.00367413191778719,NA,NA
"AMECAN01_SH","SH","AMECAN",0.629032258064516,2.523504972,48.8311615,1,1,NA,NA,0.00419678877968213,NA,NA
"AMECAN02_SH","SH","AMECAN",0.555555555555556,2.224025488,47.12721252,1.5,0.5,NA,NA,0.00522848478510927,NA,NA
"AMECAN03_SH","SH","AMECAN",0.649484536082474,2.376693964,47.91364288,3.5,3.4,NA,NA,0.00598743619945033,NA,NA
"AMECAN04_SH","SH","AMECAN",0.609375,2.136934996,47.21059418,2.2,1.6,NA,NA,0.00471662311470611,NA,NA
"AMECAN05_SH","SH","AMECAN",0.610169491525424,2.1102314,46.86411667,2,0.5,NA,NA,0.00433646329617466,NA,NA
"AMECAN06_SH","SH","AMECAN",0.642857142857143,2.095486164,46.44796753,1.4,0.5,NA,NA,0.00361752619088962,NA,NA
"BETALL01_SH","SH","BETALL",0.597938144329897,1.964916229,46.11948395,16,14.2,NA,NA,0.00474459048253398,NA,NA
"BETALL02_SH","SH","BETALL",0.591695501730104,1.88709867,47.02177811,13.1,41.6,NA,NA,0.00677788969079192,NA,NA
"BETALL03_SH","SH","BETALL",0.66839378238342,2.17650485,46.66835785,10.12,16.5,NA,NA,0.00325633717045445,NA,NA
"BETALL04_SH","SH","BETALL",0.614173228346457,1.909557581,46.43681717,8.4,30.3,NA,NA,0.00504445425310549,NA,NA
"BETALL05_SH","SH","BETALL",0.666666666666667,1.611138821,46.31691742,3.96,11,NA,NA,0.00612720515560548,NA,NA
"BETALL08_SH","SH","BETALL",0.573684210526316,2.052258492,47.4110527,5,6.2,NA,NA,0.00456447561197489,NA,NA
"BETPAP02_SH","SH","BETPAP",0.576219512195122,1.681136489,47.47164154,2,17.2,12.1,NA,0.00542860749905315,NA,NA
"BETPAP04_SH","SH","BETPAP",0.55688622754491,2.100568056,47.90655518,1,7.8,4.1,NA,0.00404596568845185,NA,NA
"BETPAP06_SH","SH","BETPAP",0.572972972972973,1.932212472,47.50922012,2,14.6,NA,NA,0.00686465194580194,NA,NA
"BETPAP07_SH","SH","BETPAP",0.538461538461538,2.058848619,47.1056633,2,8,NA,NA,0.00686424365942029,NA,NA
"BETPAP08_SH","SH","BETPAP",0.542222222222222,1.96543169,47.22881699,0.5,23,NA,NA,0.00546884452510587,NA,NA
"BETPAP09_SH","SH","BETPAP",0.523560209424084,1.665561318,45.51457214,1.3,NA,NA,NA,0.00557271737985748,NA,NA
"BETPAP10_SH","SH","BETPAP",0.596730245231608,1.947881699,46.22808838,1,12.5,13,9.2,0.0031954088365836,NA,NA
"CORALT01_SH","SH","CORALT",0.405405405405405,1.971155524,45.23460388,0.75,2.5,NA,NA,0.0032514925734526,NA,NA
"CORALT02_SH","SH","CORALT",0.467741935483871,1.950756073,45.05044937,0.75,0.5,NA,NA,0.00415126734564742,NA,NA
"CORALT03_SH","SH","CORALT",0.469565217391304,2.509048223,44.04494476,1,1.5,NA,NA,0.00260097497152721,NA,NA
"CORALT04_SH","SH","CORALT",0.551724137931035,1.998560786,44.01221848,NA,0.5,NA,NA,0.00285588005303777,NA,NA
"CORALT06_SH","SH","CORALT",0.527777777777778,1.687188864,44.17901611,1,0.5,NA,NA,0.00207786685222501,NA,NA
"CORALT07_SH","SH","CORALT",0.551020408163265,1.512611508,45.04459,1,0.5,NA,NA,0.00351068214080379,NA,NA
"CORALT22_SH","SH","CORALT",0.444444444444444,2.344201565,45.25553894,0.75,0.5,NA,NA,0.00218564372064559,NA,NA
"CORCOR01_SH","SH","CORCOR",0.488888888888889,2.724768639,46.89984512,1,1.4,NA,NA,0.00270895413532268,NA,NA
"CORCOR05_SH","SH","CORCOR",0.54014598540146,2.409609318,46.44597626,0.75,1.6,NA,NA,0.00350216167910538,NA,NA
"CORCOR07_SH","SH","CORCOR",0.506912442396313,2.871538401,46.86912155,NA,2.4,2.3,1.5,0.00339206323069323,NA,NA
"CORCOR08_SH","SH","CORCOR",0.428571428571428,2.396734476,46.75322342,14.5,1.2,2.1,NA,0.00352177159198163,NA,NA
"CORCOR09_SH","SH","CORCOR",0.472972972972973,2.504030466,46.50413895,9.5,1.4,1.6,NA,0.00345947849934113,NA,NA
"CORCOR10_SH","SH","CORCOR",0.47008547008547,2.435615301,45.17560196,5.5,1,1,NA,0.00259927895326699,NA,NA
"CORCOR11_SH","SH","CORCOR",0.48,2.845355272,47.22127914,6.25,1.4,1,1,0.00305125302114197,NA,NA
"FAGGRA02_SH","SH","FAGGRA",0.513513513513513,1.725468755,47.05744553,5,5,NA,NA,0.00413806136712424,NA,NA
"FAGGRA04_SH","SH","FAGGRA",0.657142857142857,2.511519432,48.09926224,12.09,22.6,NA,NA,0.00284087198443071,NA,NA
"FAGGRA05_SH","SH","FAGGRA",0.646017699115044,2.952894449,47.78568268,3.8,12,NA,NA,0.00236871834116833,NA,NA
"FAGGRA06_SH","SH","FAGGRA",0.658682634730539,2.398291111,47.6909256,2.75,9.8,NA,NA,0.00260491202794009,NA,NA
"FAGGRA07_SH","SH","FAGGRA",0.627777777777778,2.088678837,47.66186523,9.25,7.2,NA,NA,0.00286232792835328,NA,NA
"FAGGRA08_SH","SH","FAGGRA",0.582417582417582,2.209222078,47.97659302,7.25,6.2,NA,NA,0.00536963547846009,NA,NA
"FRANIG01_SH","SH","FRANIG",0.523809523809524,1.785324216,44.86650467,5,5.5,NA,NA,0.00562081686056123,NA,NA
"FRANIG02_SH","SH","FRANIG",0.532731376975169,2.688220263,45.62670135,6.5,10.9,NA,NA,0.00437955615115725,NA,NA
"FRANIG05_SH","SH","FRANIG",0.5,2.712067366,46.40842819,3,4.75,NA,NA,0.00520227136458223,NA,NA
"FRANIG06_SH","SH","FRANIG",0.535626535626536,2.226041794,45.69171524,0.25,16,NA,NA,0.00772252334902031,NA,NA
"FRANIG08_SH","SH","FRANIG",0.496913580246914,2.702263832,44.83163834,0.5,12.2,NA,NA,0.00456907979094202,NA,NA
"FRANIG09_SH","SH","FRANIG",0.46584938704028,2.222141981,45.34532166,0.5,9.8,NA,NA,0.00365309159788933,NA,NA
"ILEMUC01_SH","SH","ILEMUC",0.597315436241611,1.857755423,49.40711975,3,2,1.7,1.2,0.00516597262034511,NA,NA
"ILEMUC03_SH","SH","ILEMUC",0.560606060606061,1.618312955,49.49527359,1.3,2,1.5,1.8,0.00865004140977271,NA,NA
"ILEMUC04_SH","SH","ILEMUC",0.504950495049505,2.052872896,50.40483856,3,0.5,NA,NA,0.00622303938901068,NA,NA
"ILEMUC05_SH","SH","ILEMUC",0.598425196850394,1.413179874,48.85598755,2.5,0.5,4,0.5,0.00624231185855656,NA,NA
"ILEMUC06_SH","SH","ILEMUC",0.592592592592593,1.714556456,49.15249634,3.5,1.5,NA,NA,0.00639688743230691,NA,NA
"ILEMUC07_SH","SH","ILEMUC",0.580357142857143,1.747103572,49.41685486,5.25,1.2,1,0.5,0.00586776493512245,NA,NA
"KALANG01_SH","SH","KALANG",0.528089887640449,1.70227778,52.40770721,0.3,0.5,NA,NA,0.00543982592557038,NA,NA
"KALANG02_SH","SH","KALANG",0.265625,2.025684118,53.47183609,0.5,0.5,NA,NA,0.00432031663740001,NA,NA
"KALANG03_SH","SH","KALANG",0.541666666666667,1.57965529,53.37899399,1.2,0.5,NA,NA,0.0053156146179402,NA,NA
"KALANG04_SH","SH","KALANG",0.578947368421053,2.603083611,53.61665726,0.5,0.5,NA,NA,0.00444642063139173,NA,NA
"KALANG07_SH","SH","KALANG",0.529411764705882,1.634597898,54.20410538,1,0.5,NA,NA,0.0056732760332454,NA,NA
"KALANG08_SH","SH","KALANG",0.588235294117647,1.690956593,53.90420151,9.8,0.5,NA,NA,0.00601765177855041,NA,NA
"LONCAN01_SH","SH","LONCAN",0.567567567567568,1.159871936,45.07177353,5.25,0.5,NA,NA,0.00286797520950209,NA,NA
"LONCAN02_SH","SH","LONCAN",0.6,1.379902124,45.90887833,4.75,NA,NA,NA,0.00273370438814228,NA,NA
"LONCAN04_SH","SH","LONCAN",0.370967741935484,1.309654355,45.36784744,7,0.5,NA,NA,0.00259380170833147,NA,NA
"LONCAN05_SH","SH","LONCAN",0.5625,1.097287059,45.50102997,4.5,0.5,NA,NA,0.00324750637903039,NA,NA
"LONCAN06_SH","SH","LONCAN",0.478260869565217,1.439824462,44.52256775,1,0.5,NA,NA,0.0050310246520208,NA,NA
"LONCAN99_SH","SH","LONCAN",0.517241379310345,1.533599734,45.01890945,0.25,0.5,NA,NA,0.00254659472536568,NA,NA
"MYRGAL01_SH","SH","MYRGAL",0.471337579617834,2.606348276,50.33296585,0.75,0.5,NA,NA,0.0058097773270799,NA,NA
"MYRGAL02_SH","SH","MYRGAL",0.455882352941176,2.531941175,49.52942657,0.6,0.5,NA,NA,0.00613256562696966,NA,NA
"MYRGAL03_SH","SH","MYRGAL",0.411764705882353,2.53568387,51.12629318,0.5,0.5,NA,NA,0.00495813133539004,NA,NA
"MYRGAL04_SH","SH","MYRGAL",0.479166666666667,2.122626543,44.65401077,0.6,0.5,NA,NA,0.00554702167605393,NA,NA
"MYRGAL11_SH","SH","MYRGAL",0.545454545454545,1.540245295,50.96450806,0.5,0.5,NA,NA,0.00641936815076345,NA,NA
"MYRGAL12_SH","SH","MYRGAL",0.21259842519685,2.101684093,51.00967407,0.75,0.5,NA,NA,0.00616758201415607,NA,NA
"POPGRA01_SH","SH","POPGRA",0.559322033898305,2.044774532,49.42435455,1.4,13.8,NA,NA,0.00570706280728306,NA,NA
"POPGRA02_SH","SH","POPGRA",0.51984126984127,2.335150242,51.43754959,1.6,4.7,NA,NA,0.00635417776939664,NA,NA
"POPGRA04_SH","SH","POPGRA",0.560975609756098,2.496547699,49.27892303,1.5,7,NA,NA,0.00866208613309337,NA,NA
"POPGRA05_SH","SH","POPGRA",0.426724137931035,3.095728397,51.31177521,1.8,5.1,NA,NA,0.00632286109464533,NA,NA
"POPGRA06_SH","SH","POPGRA",0.464454976303318,3.324130774,51.05384827,2,6.2,NA,NA,0.00554987381890657,NA,NA
"POPGRA08_SH","SH","POPGRA",0.545454545454545,2.526772261,49.07820511,1.5,13.2,10.5,NA,0.00642112914950327,NA,NA
"POPTRE01_SH","SH","POPTRE",0.520710059171598,2.713674068,50.17532349,3,10.1,NA,NA,0.00624219725343321,NA,NA
"POPTRE02_SH","SH","POPTRE",0.43010752688172,3.304295778,51.05925369,5.75,6.2,NA,NA,0.00585166307545911,NA,NA
"POPTRE03_SH","SH","POPTRE",0.440476190476191,3.293709278,50.95933533,6.25,5.2,NA,NA,0.00771116452864317,NA,NA
"POPTRE04_SH","SH","POPTRE",0.469387755102041,2.610889912,50.7956543,5,3.1,1.5,NA,0.00633530746039019,NA,NA
"POPTRE05_SH","SH","POPTRE",0.514925373134328,2.196471214,49.75233459,4,3.6,NA,NA,0.00605302885637387,NA,NA
"POPTRE06_SH","SH","POPTRE",0.535864978902954,2.834949732,48.86683273,12.09,10.6,NA,NA,0.00633619870319133,NA,NA
"PRUPEN02_SH","SH","PRUPEN",0.5,2.542138815,48.02455902,3.8,2.7,NA,NA,0.00495149086295202,NA,NA
"PRUPEN03_SH","SH","PRUPEN",0.625850340136054,2.179510832,48.43069077,2.75,5.2,NA,NA,0.00534901067839196,NA,NA
"PRUPEN04_SH","SH","PRUPEN",0.455645161290323,3.371711254,50.56137085,9.25,9.8,9.5,11.3,0.00468474283364478,NA,NA
"PRUPEN06_SH","SH","PRUPEN",0.458823529411765,2.507101536,49.12133789,7.25,6.7,NA,NA,0.00468813148322781,NA,NA
"PRUPEN08_SH","SH","PRUPEN",0.445344129554656,3.314763784,49.88368607,9.75,12.8,NA,NA,0.00503942202410676,NA,NA
"PRUPEN09_SH","SH","PRUPEN",0.518518518518518,2.75045085,49.22493362,6.5,9.3,NA,NA,0.00455924386694022,NA,NA
"QUERUB02_SH","SH","QUERUB",0.676470588235294,2.299360275,49.3494873,NA,NA,NA,NA,0.00472232144478819,NA,NA
"QUERUB04_SH","SH","QUERUB",0.585669781931464,2.446279526,49.22423172,4,NA,NA,NA,0.00500055809800201,NA,NA
"QUERUB05_SH","SH","QUERUB",0.599137931034483,2.28355813,50.12187195,5,4.25,4.75,1.9,0.00746839429522653,NA,NA
"QUERUB06_SH","SH","QUERUB",0.680115273775216,2.228312016,48.43655396,6.5,3.7,NA,NA,0.00397389402233257,NA,NA
"QUERUB07_SH","SH","QUERUB",0.452380952380952,2.460135221,48.71317673,5.6,3.7,NA,NA,0.00408066359009363,NA,NA
"QUERUB10_SH","SH","QUERUB",0.550898203592814,2.452829838,48.85361862,4.25,3,NA,NA,0.0039415589362428,NA,NA
"QUERUB14_SH","SH","QUERUB",0.629032258064516,2.08317256,49.76169205,3,1.8,NA,NA,0.00465244069969777,NA,NA
"RIBGLA02_SH","SH","RIBGLA",0.444444444444444,2.035973549,46.46385574,0.25,0.5,NA,NA,0.00325275492475029,NA,NA
"RIBGLA04_SH","SH","RIBGLA",0.452054794520548,1.716023445,45.71548462,0.5,0.5,NA,NA,0.00362731367194978,NA,NA
"RIBGLA05_SH","SH","RIBGLA",0.470588235294118,1.923707843,46.27547073,0.5,0.5,NA,NA,0.00374148401235101,NA,NA
"RIBGLA06_SH","SH","RIBGLA",0.535211267605634,1.834355712,45.3674736,0.5,0.5,NA,NA,0.00304139336367968,NA,NA
"RIBGLA07_SH","SH","RIBGLA",0.490566037735849,1.806925058,46.24878311,0.5,0.5,NA,NA,0.00377545284459397,NA,NA
"SAMRAC01_SH","SH","SAMRAC",0.245901639344262,4.138409615,49.07409286,3,4.3,2,2.2,0.00392562148997364,NA,NA
"SAMRAC02_SH","SH","SAMRAC",0.32,3.622446537,48.10679245,2.2,2.75,2.5,2.25,0.0072519869464235,NA,NA
"SAMRAC03_SH","SH","SAMRAC",0.322033898305085,3.271000147,49.08798981,1.3,1,NA,NA,0.00446638366624074,NA,NA
"SAMRAC04_SH","SH","SAMRAC",0.240437158469945,4.589049816,48.16595459,3,2.2,1.8,1.7,0.00387604564241501,NA,NA
"SAMRAC05_SH","SH","SAMRAC",0.25503355704698,4.712920189,49.46750641,2.5,1.5,1.25,1.1,0.00256833322956229,NA,NA
"SAMRAC06_SH","SH","SAMRAC",0.278350515463918,3.914161682,49.20131683,3.5,3.4,3.6,5,0.00393203972274548,NA,NA
"SORAME01_SH","SH","SORAME",0.439678284182306,2.528316259,49.46772766,5.25,5,NA,NA,0.00556978946195834,NA,NA
"SORAME02_SH","SH","SORAME",0.518518518518518,2.043316126,47.35293579,8,7.7,NA,NA,0.00408241261899798,NA,NA
"SORAME03_SH","SH","SORAME",0.469387755102041,2.000250816,48.54999542,5.25,7.4,NA,NA,0.0041988579106483,NA,NA
"SPIALB02_SH","SH","SPIALB",0.785714285714286,1.798264503,49.61100769,0.3,0.5,NA,NA,0.00505104210974054,NA,NA
"SPIALB03_SH","SH","SPIALB",0.625,1.91588521,51.05950928,0.5,0.5,NA,NA,0.00489995916700694,NA,NA
"SPIALB06_SH","SH","SPIALB",0.394736842105263,2.235586882,51.0055809,1.2,0.5,NA,NA,0.00438981562774363,NA,NA
"SPIALB08_SH","SH","SPIALB",0.942307692307692,1.733783603,50.5352478,0.5,0.5,NA,NA,0.00562688628574352,NA,NA
"SPIALB98_SH","SH","SPIALB",0.692307692307692,1.815958738,49.71206665,0.5,0.5,NA,NA,0.0047076949413678,NA,NA
"SPIALB99_SH","SH","SPIALB",0.488372093023256,1.450480223,49.68209839,1,0.5,NA,NA,0.00509175551260469,NA,NA
"TILAME01_SH","SH","TILAME",0.324675324675325,3.734623909,46.61396408,9.8,6.2,8.1,13.3,0.0040536532313878,NA,NA
"TILAME02_SH","SH","TILAME",0.350267379679144,3.164486408,43.11398697,6.95,12.3,NA,NA,0.00467271057150845,NA,NA
"TILAME03_SH","SH","TILAME",0.442857142857143,2.422260046,46.35290146,5.25,2.5,4.5,8.3,0.00405612910079481,NA,NA
"TILAME04_SH","SH","TILAME",0.392727272727273,3.028263807,45.91982269,4.75,5.4,3.2,1.9,0.00381560234486108,NA,NA
"TILAME05_SH","SH","TILAME",0.363309352517986,1.900859237,45.353405,10.75,16.7,2.5,3.4,0.00355964403559644,NA,NA
"TILAME06_SH","SH","TILAME",0.3625,2.8723526,46.78565979,7,3,9.1,3.2,0.00430455003415567,NA,NA
"ULMAME01_SH","SH","ULMAME",0.567567567567568,1.872402191,45.25175476,4.5,4.1,NA,NA,0.00576089263515357,NA,NA
"VACMYR02_SH","SH","VACMYR",0.725,2.596734285,50.603302,1,0.5,NA,NA,0.00364899382374008,NA,NA
"VACMYR03_SH","SH","VACMYR",0.679245283018868,2.84769392,48.50624847,0.25,0.5,NA,NA,0.00236499802916831,NA,NA
"VACMYR04_SH","SH","VACMYR",0.675,2.97692275,50.21430206,0.75,0.5,NA,NA,0.00189531541207316,NA,NA
"VACMYR05_SH","SH","VACMYR",0.605263157894737,2.163398504,49.9830246,0.6,0.5,NA,NA,0.00275352057273228,NA,NA
"VACMYR06_SH","SH","VACMYR",0.660377358490566,2.077031851,49.97135544,0.5,0.5,NA,NA,0.00378632505600606,NA,NA
"VACMYR07_SH","SH","VACMYR",0.625,3.102243185,49.9825325,0.6,0.5,NA,NA,0.00254110233019084,NA,NA
"VIBCAS01_SH","SH","VIBCAS",0.555023923444976,2.164963484,49.27870941,1,1.5,NA,NA,0.00538191005482821,NA,NA
"VIBCAS04_SH","SH","VIBCAS",0.457142857142857,2.451192617,48.5600853,NA,NA,NA,NA,0.0031893566611992,NA,NA
"VIBCAS05_SH","SH","VIBCAS",0.530386740331492,1.762457252,50.17048264,2,1.4,1.2,0.5,0.0057401327118683,NA,NA
"VIBCAS06_SH","SH","VIBCAS",0.582677165354331,2.063175678,49.0501709,1.4,0.5,NA,NA,0.00536695904847611,NA,NA
"VIBCAS07_SH","SH","VIBCAS",0.529411764705882,1.715643167,49.96912003,1.6,0.5,NA,NA,0.00709126418252836,NA,NA
"VIBCAS08_SH","SH","VIBCAS",0.657142857142857,1.974734783,48.5616684,2,1,1,0.5,0.0076665150213146,NA,NA
"VIBLAN02_SH","SH","VIBLAN",0.5,2.288287401,47.39825058,1.5,1.2,0.5,NA,0.00337590727508018,NA,NA
"VIBLAN04_SH","SH","VIBLAN",0.519125683060109,2.079928875,47.7179718,1.8,1.3,NA,NA,0.0034803999418807,NA,NA
"VIBLAN05_SH","SH","VIBLAN",0.44,2.145836592,48.08044434,2,0.5,NA,NA,0.0024073267698277,NA,NA
"VIBLAN06_SH","SH","VIBLAN",0.5,2.274951458,47.19084549,1.5,0.5,NA,NA,0.00350366424886027,NA,NA
"VIBLAN07_SH","SH","VIBLAN",0.444444444444444,1.933788896,46.55111694,1.5,0.5,NA,NA,0.00342083468366281,NA,NA
"VIBLAN09_SH","SH","VIBLAN",0.455621301775148,2.071050406,47.97768784,1,0.5,NA,NA,0.00285549776943494,NA,NA
"ACEPEN01_HF","HF","ACEPEN",0.354545454545455,3.540307045,49.05248642,4,2,NA,NA,0.00431456127234924,NA,NA
"ACEPEN02_HF","HF","ACEPEN",0.430769230769231,3.144395351,46.2130394,3,2,NA,NA,0.00197990397465723,NA,NA
"ACEPEN03_HF","HF","ACEPEN",0.526595744680851,2.676598549,46.56890488,0.96,2.3,NA,NA,0.00190239589977731,NA,NA
"ACEPEN04_HF","HF","ACEPEN",0.454545454545455,2.626013279,47.34117508,0.75,2.1,2.8,NA,0.00267943049922662,NA,NA
"ACEPEN11_HF","HF","ACEPEN",0.3671875,2.104939222,49.21846771,5,3.25,1.5,NA,0.00292617046818728,NA,NA
"ACEPEN12_HF","HF","ACEPEN",0.628099173553719,2.084821463,48.55783081,16.5,13.9,NA,NA,0.00362773285992706,NA,NA
"ACERUB11_HF","HF","ACERUB",0.6,2.062268496,49.05189133,13.86,8.6,13.2,NA,0.00350285261043045,NA,NA
"ACERUB13_HF","HF","ACERUB",0.643243243243243,1.989035726,49.34560776,13.5,12,NA,NA,0.00375600617450771,NA,NA
"ACERUB14_HF","HF","ACERUB",0.503355704697987,2.038106441,49.12500763,19.72,13.6,2.2,NA,0.00341523915661568,NA,NA
"ACERUB15_HF","HF","ACERUB",0.469565217391304,2.79383564,48.56135941,17,17.3,NA,NA,0.00538087100358227,NA,NA
"ACERUB17_HF","HF","ACERUB",0.627118644067797,1.743574858,47.71640396,4.25,2.2,NA,NA,0.00417100169651979,NA,NA
"ACESAC02_HF","HF","ACESAC",0.603351955307263,1.634038329,48.25867462,7.5,6.25,NA,NA,0.00346630583675788,NA,NA
"ACESAC05_HF","HF","ACESAC",1,1.934937477,47.73533249,18.5,17.8,NA,NA,0.0031235683644996,NA,NA
"ACESAC06_HF","HF","ACESAC",0.575757575757576,1.699398279,48.19945908,12,7,7.7,NA,0.00343462542767692,NA,NA
"ACESAC07_HF","HF","ACESAC",0.622448979591837,1.844301343,48.53834152,7.25,7.3,NA,NA,0.00347743454848439,NA,NA
"ACESAC08_HF","HF","ACESAC",0.636986301369863,1.759538531,47.50047684,10.5,8.2,NA,NA,0.00332483168039618,NA,NA
